player_name,team,matches_played,goals_scored,assists,shots_total,total_xg
Harry Kane,Tottenham Hotspur,38,25,39,158,21.635490750800024
Jamie Vardy,Leicester City,36,24,36,118,22.29868511899999
Sergio Leonel Agüero del Castillo,Manchester City,30,24,24,118,17.6730739255
Romelu Lukaku Menama,Everton,37,18,43,116,18.15715817069999
Riyad Mahrez,Leicester City,37,17,56,87,12.163812770000005
Olivier Giroud,Arsenal,38,16,26,103,13.017702892999997
Odion Jude Ighalo,Watford,37,15,31,111,16.919277522399998
Jermain Defoe,Sunderland,33,15,18,88,13.2098756745
Troy Deeney,Watford,38,13,49,94,12.085973285000001
Alexis Alejandro Sánchez Sánchez,Arsenal,30,13,53,111,11.263074479399995
André Ayew Pelé,Swansea City,34,12,17,69,7.593027025699999
Diego da Silva Costa,Chelsea,28,12,20,70,11.809203979
Georginio Wijnaldum,Newcastle United,38,11,38,54,7.722146134000001
Sadio Mané,Southampton,37,11,37,86,12.052078225
Gylfi Þór Sigurðsson,Swansea City,36,11,57,89,7.495362014000002
Marko Arnautović,Stoke City,34,11,44,72,11.080028552999998
Anthony Martial,Manchester United,31,11,32,57,6.901340182499998
Graziano Pellè,Southampton,30,11,26,82,7.720267611
Bamidele Alli,Tottenham Hotspur,33,10,47,73,8.398463296300003
Roberto Firmino Barbosa de Oliveira,Liverpool,31,10,37,65,7.351758690399998
