player,num_passes,num_shots
Aymeric Laporte,83,1.0
Bukayo Saka,24,0.0
Cole Palmer,7,1.0
Daniel Carvajal Ramos,73,0.0
Daniel Olmo Carvajal,32,2.0
Declan Rice,42,3.0
Fabián Ruiz Peña,64,2.0
Harry Kane,11,1.0
John Stones,35,0.0
Jordan Pickford,42,0.0
José Ignacio Fernández Iglesias,3,0.0
Jude Bellingham,35,1.0
Kobbie Mainoo,18,0.0
Kyle Walker,42,0.0
Lamine Yamal Nasraoui Ebana,37,2.0
Luke Shaw,21,0.0
Marc Cucurella Saseta,43,0.0
Marc Guehi,26,1.0
Martín Zubimendi Ibáñez,26,0.0
Mikel Oyarzabal Ugarte,4,2.0
Nicholas Williams Arthuer,51,3.0
Ollie Watkins,1,1.0
Phil Foden,20,1.0
Robin Aime Robert Le Normand,84,1.0
Rodrigo Hernández Cascante,32,0.0
Unai Simón Mendibil,40,0.0
Álvaro Borja Morata Martín,21,3.0
